mse:0.8605286478996277 mae:0.6853664517402649 mape:1.1089568138122559
mse:0.5604916214942932 mae:0.5363677740097046 mape:1.677696704864502
mse:1.1467210054397583 mae:0.8060416579246521 mape:1.050345778465271
mse:0.6844402551651001 mae:0.6075578331947327 mape:1.2571799755096436
mse:1.7776439189910889 mae:1.0014194250106812 mape:1.0438166856765747
mse:0.6970745325088501 mae:0.6193984150886536 mape:1.3287433385849
mse:0.6337100863456726 mae:0.5595023036003113 mape:2.599030017852783
mse:0.9276906251907349 mae:0.7338355183601379 mape:1.0561902523040771
mse:0.8921886682510376 mae:0.7356311678886414 mape:1.2887860536575317
mse:0.7213745713233948 mae:0.6198581457138062 mape:1.0069835186004639
mse:0.8623484969139099 mae:0.6991868615150452 mape:1.169014811515808
mse:0.9233091473579407 mae:0.7466369867324829 mape:1.0829509496688843
mse:0.6562557220458984 mae:0.605816662311554 mape:1.2455424070358276
mse:1.0054843425750732 mae:0.7386747002601624 mape:1.2888551950454712
mse:1.7026859521865845 mae:0.9211663603782654 mape:1.8901519775390625
mse:1.2047940492630005 mae:0.7893129587173462 mape:1.1824887990951538
mse:1.2881301641464233 mae:0.8577106595039368 mape:1.153666615486145
mse:0.7134239673614502 mae:0.6052811741828918 mape:1.1076998710632324
mse:0.7512345910072327 mae:0.6395093202590942 mape:1.7179845571517944
mse:0.6440685987472534 mae:0.5693832039833069 mape:1.4084099531173706
mse:1.7148869037628174 mae:0.9646052718162537 mape:1.1661664247512817
mse:1.3757046461105347 mae:0.854461669921875 mape:1.8087719678878784
mse:0.8759139776229858 mae:0.7360356450080872 mape:1.1385756731033325
mse:1.1282519102096558 mae:0.7921286225318909 mape:1.0955374240875244
mse:0.7841058373451233 mae:0.6616030335426331 mape:1.0624752044677734
mse:0.7042549252510071 mae:0.608562707901001 mape:1.0537536144256592
mse:0.5234519243240356 mae:0.5496127605438232 mape:1.2888063192367554
mse:1.7557626962661743 mae:0.968629002571106 mape:1.082638144493103
mse:1.0092811584472656 mae:0.7390545010566711 mape:5.493377685546875
mse:0.7091006636619568 mae:0.641015350818634 mape:1.1099662780761719
mse:1.0097911357879639 mae:0.7264739871025085 mape:1.0585243701934814
mse:2.999173879623413 mae:0.8274316191673279 mape:1.0801945924758911
